RANKING,SEASONAL_DATE_TO_ANALYZE,ON_YEAR,ON_MONTH,ON_DAY,THE_QUARTER_TO_MATCH_AND_ANALYZE,STORE_TO_ANALYZE_AND_REPLICATE_MARKTING,NEW_TARGET_RANGE_TOP_BOUNDARY
1,27/09/2023,2023,9,27,Q - 3,C,1332
2,29/09/2023,2023,9,29,Q - 3,C,1331
3,02/08/2023,2023,8,2,Q - 3,C,1254
4,03/08/2023,2023,8,3,Q - 3,C,1253
5,23/10/2023,2023,10,23,Q - 4,C,1234
6,19/10/2023,2023,10,19,Q - 4,C,1229
7,17/09/2023,2023,9,17,Q - 3,C,1220
8,23/08/2023,2023,8,23,Q - 3,C,1218
9,28/08/2023,2023,8,28,Q - 3,C,1213
10,10/09/2023,2023,9,10,Q - 3,C,1208
